,Removed,trainAuc,testAuc,trainAcc,testAcc
k-nn,0%,0.8539364828824907,0.8569093949528732,0.8577302072714916,0.8595685696959195
k-nn,5%,0.7901760889712697,0.7870064874884152,0.7986468952734013,0.7900648748841519
k-nn,10%,0.8659517426273459,0.8701787394167451,0.8689175769612711,0.8659217877094972
k-nn,20%,0.8625,0.8645833333333334,0.8645833333333334,0.8645833333333334
Decision tree,0%,0.885926359331628,0.8927308914832308,0.9016427411066539,0.8784677419354839
Decision tree,5%,0.8548656163113995,0.8623540315106581,0.8573308619091752,0.8413716404077851
Decision tree,10%,0.9052725647899911,0.9012229539040452,0.900695134061569,0.9016759776536313
Decision tree,20%,0.9041666666666667,0.8875,0.88125,0.8833333333333333
